study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	center_name	experiment_alias	fastq_ftp	submitted_ftp	submitted_aspera	sra_ftp	broker_name	sample_title	bam_ftp
PRJNA384716	SAMN07259830	SRX2939870	SRR5723808	646099	human metagenome	NextSeq 500	SUB2791318	134HS_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723808/SRR5723808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723808/SRR5723808_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723808		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259883	SRX2939865	SRR5723813	646099	human metagenome	NextSeq 500	SUB2791318	138IR_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723813/SRR5723813_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723813/SRR5723813_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723813		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259868	SRX2939861	SRR5723817	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723817/SRR5723817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723817/SRR5723817_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723817		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259866	SRX2939857	SRR5723821	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723821/SRR5723821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723821/SRR5723821_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723821		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259873	SRX2939856	SRR5723822	646099	human metagenome	NextSeq 500	SUB2791318	164LO_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723822/SRR5723822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723822/SRR5723822_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723822		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259889	SRX2939851	SRR5723827	646099	human metagenome	NextSeq 500	SUB2791318	94FU_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723827/SRR5723827_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723827/SRR5723827_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723827		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259890	SRX2939850	SRR5723828	646099	human metagenome	NextSeq 500	SUB2791318	94FU_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723828/SRR5723828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723828/SRR5723828_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723828		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259891	SRX2939849	SRR5723829	646099	human metagenome	NextSeq 500	SUB2791318	94FU_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723829/SRR5723829_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723829/SRR5723829_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723829		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259892	SRX2939848	SRR5723830	646099	human metagenome	NextSeq 500	SUB2791318	94FU_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723830/SRR5723830_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723830/SRR5723830_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723830		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259871	SRX2939845	SRR5723833	646099	human metagenome	NextSeq 500	SUB2791318	164LO_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723833/SRR5723833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723833/SRR5723833_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723833		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259858	SRX2939880	SRR5723798	646099	human metagenome	NextSeq 500	SUB2791318	190LO_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723798/SRR5723798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723798/SRR5723798_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723798		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259877	SRX2939841	SRR5723837	646099	human metagenome	NextSeq 500	SUB2791318	140BY_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723837/SRR5723837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723837/SRR5723837_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723837		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259859	SRX2939879	SRR5723799	646099	human metagenome	NextSeq 500	SUB2791318	190LO_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723799/SRR5723799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723799/SRR5723799_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723799		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259878	SRX2939840	SRR5723838	646099	human metagenome	NextSeq 500	SUB2791318	140BY_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723838/SRR5723838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723838/SRR5723838_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723838		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259852	SRX2939878	SRR5723800	646099	human metagenome	NextSeq 500	SUB2791318	198KP_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723800/SRR5723800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723800/SRR5723800_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723800		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259880	SRX2939838	SRR5723840	646099	human metagenome	NextSeq 500	SUB2791318	140BY_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723840/SRR5723840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723840/SRR5723840_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723840		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259862	SRX2939876	SRR5723802	646099	human metagenome	NextSeq 500	SUB2791318	190LO_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723802/SRR5723802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723802/SRR5723802_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723802		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259910	SRX2939834	SRR5723844	646099	human metagenome	NextSeq 500	SUB2791318	73FU_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723844/SRR5723844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723844/SRR5723844_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723844		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259854	SRX2939874	SRR5723804	646099	human metagenome	NextSeq 500	SUB2791318	198KP_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723804/SRR5723804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723804/SRR5723804_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723804		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259855	SRX2939873	SRR5723805	646099	human metagenome	NextSeq 500	SUB2791318	198KP_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723805/SRR5723805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723805/SRR5723805_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723805		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259882	SRX2939866	SRR5723812	646099	human metagenome	NextSeq 500	SUB2791318	138IR_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723812/SRR5723812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723812/SRR5723812_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723812		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259909	SRX2939831	SRR5723847	646099	human metagenome	NextSeq 500	SUB2791318	73FU_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723847/SRR5723847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723847/SRR5723847_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723847		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259832	SRX2939864	SRR5723814	646099	human metagenome	NextSeq 500	SUB2791318	134HS_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723814/SRR5723814_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723814/SRR5723814_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723814		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259917	SRX2939827	SRR5723851	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723851/SRR5723851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723851/SRR5723851_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723851		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259833	SRX2939863	SRR5723815	646099	human metagenome	NextSeq 500	SUB2791318	134HS_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723815/SRR5723815_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723815/SRR5723815_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723815		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259895	SRX2939820	SRR5723858	646099	human metagenome	NextSeq 500	SUB2791318	91FU_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723858/SRR5723858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723858/SRR5723858_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723858		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259894	SRX2939819	SRR5723859	646099	human metagenome	NextSeq 500	SUB2791318	91FU_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723859/SRR5723859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723859/SRR5723859_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723859		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259865	SRX2939860	SRR5723818	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723818/SRR5723818_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723818/SRR5723818_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723818		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259912	SRX2939807	SRR5723871	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723871/SRR5723871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723871/SRR5723871_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723871		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259842	SRX2939802	SRR5723876	646099	human metagenome	NextSeq 500	SUB2791318	206FU_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723876/SRR5723876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723876/SRR5723876_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723876		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259864	SRX2939859	SRR5723819	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723819/SRR5723819_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723819/SRR5723819_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723819		Metagenome or environmental sample from human metagenome	
