Processing file: SRR5723802_colostrum_cutadapter_finalcontigs.fa
>k141_510 flag=1 multi=2.0000 len=332
>k141_511 flag=1 multi=3.0000 len=512
>k141_350 flag=1 multi=2.0000 len=636
>k141_512 flag=0 multi=1.7800 len=241
>k141_351 flag=1 multi=1.0000 len=452
>k141_513 flag=1 multi=1.0000 len=527
>k141_352 flag=1 multi=1.0000 len=608
>k141_514 flag=0 multi=1.0000 len=467
>k141_353 flag=1 multi=1.0000 len=333
>k141_354 flag=1 multi=2.0000 len=321
>k141_594 flag=1 multi=1.0000 len=514
>k141_614 flag=1 multi=3.0000 len=467
>k141_595 flag=0 multi=1.0000 len=378
>k141_615 flag=1 multi=1.0000 len=447
>k141_616 flag=1 multi=2.0000 len=322
>k141_617 flag=1 multi=1.0000 len=483
>k141_596 flag=1 multi=2.0000 len=1087
>k141_275 flag=1 multi=2.0000 len=317
>k141_276 flag=1 multi=2.0000 len=406
>k141_597 flag=1 multi=1.0000 len=480
>k141_277 flag=0 multi=1.0000 len=492
>k141_450 flag=1 multi=1.0000 len=612
>k141_278 flag=1 multi=1.0000 len=383
>k141_451 flag=1 multi=1.0000 len=726
>k141_279 flag=0 multi=1.0000 len=668
>k141_495 flag=1 multi=2.0000 len=350
>k141_452 flag=1 multi=1.0000 len=409
>k141_453 flag=1 multi=1.0000 len=416
>k141_496 flag=1 multi=1.0000 len=558
>k141_454 flag=0 multi=1.0000 len=350
>k141_115 flag=1 multi=1.0000 len=357
>k141_497 flag=1 multi=2.0000 len=577
>k141_498 flag=1 multi=1.0000 len=324
>k141_116 flag=1 multi=1.0000 len=453
>k141_117 flag=1 multi=1.0000 len=306
>k141_499 flag=1 multi=1.0000 len=564
>k141_118 flag=1 multi=1.0000 len=409
>k141_140 flag=1 multi=1.0000 len=617
>k141_300 flag=1 multi=1.8595 len=931
>k141_141 flag=1 multi=1.0000 len=355
>k141_301 flag=0 multi=1.0000 len=338
>k141_142 flag=1 multi=1.0000 len=544
>k141_302 flag=1 multi=1.0000 len=450
>k141_303 flag=1 multi=1.0000 len=524
>k141_143 flag=1 multi=1.0000 len=585
>k141_144 flag=1 multi=2.0000 len=307
>k141_304 flag=1 multi=1.0000 len=444
>k141_310 flag=1 multi=1.0000 len=578
>k141_260 flag=1 multi=1.0000 len=637
>k141_311 flag=1 multi=1.0000 len=501
>k141_312 flag=0 multi=1.0000 len=348
>k141_261 flag=1 multi=1.0000 len=681
>k141_313 flag=1 multi=2.0000 len=487
>k141_262 flag=1 multi=2.6376 len=599
>k141_314 flag=1 multi=1.0000 len=425
>k141_263 flag=1 multi=1.0000 len=359
>k141_290 flag=1 multi=1.0000 len=485
>k141_264 flag=1 multi=1.0000 len=492
>k141_291 flag=1 multi=1.0000 len=418
>k141_430 flag=1 multi=1.0000 len=559
>k141_292 flag=0 multi=1.0000 len=407
>k141_431 flag=1 multi=2.0000 len=341
>k141_293 flag=0 multi=1.0000 len=404
